chat_id,officer,question,ai_response,date_time,tokens_used
CHAT0001,Officer29,How to file a missing person case?,AI generated response,2026-07-07T17:32:00,1046
CHAT0002,Officer79,IPC section for theft?,AI generated response,2026-07-09T09:01:00,234
CHAT0003,Officer69,IPC section for theft?,AI generated response,2026-07-01T15:56:00,1001
CHAT0004,Officer4,How to register an FIR?,AI generated response,2026-07-06T11:18:00,292
CHAT0005,Officer62,Evidence required in cybercrime?,AI generated response,2026-07-04T18:46:00,346
CHAT0006,Officer93,IPC section for theft?,AI generated response,2026-07-05T10:09:00,1124
CHAT0007,Officer98,Evidence required in cybercrime?,AI generated response,2026-07-05T12:23:00,1012
CHAT0008,Officer1,How to file a missing person case?,AI generated response,2026-07-05T13:05:00,640
CHAT0009,Officer43,IPC section for theft?,AI generated response,2026-07-05T12:44:00,824
CHAT0010,Officer91,How to file a missing person case?,AI generated response,2026-07-05T14:05:00,983
CHAT0011,Officer82,How to file a missing person case?,AI generated response,2026-07-03T12:10:00,1102
CHAT0012,Officer29,IPC section for theft?,AI generated response,2026-07-02T12:21:00,886
CHAT0013,Officer95,Evidence required in cybercrime?,AI generated response,2026-07-09T14:19:00,652
CHAT0014,Officer82,How to file a missing person case?,AI generated response,2026-07-04T18:54:00,743
CHAT0015,Officer93,How to file a missing person case?,AI generated response,2026-07-05T09:56:00,488
CHAT0016,Officer31,IPC section for theft?,AI generated response,2026-07-08T18:04:00,877
CHAT0017,Officer42,IPC section for theft?,AI generated response,2026-07-06T18:35:00,860
CHAT0018,Officer3,IPC section for theft?,AI generated response,2026-07-04T17:09:00,1114
CHAT0019,Officer38,How to register an FIR?,AI generated response,2026-07-08T16:17:00,1183
CHAT0020,Officer26,How to file a missing person case?,AI generated response,2026-07-04T10:32:00,961
CHAT0021,Officer12,How to file a missing person case?,AI generated response,2026-07-09T13:07:00,450
CHAT0022,Officer11,How to file a missing person case?,AI generated response,2026-07-03T13:52:00,549
CHAT0023,Officer44,How to file a missing person case?,AI generated response,2026-07-02T17:18:00,861
CHAT0024,Officer75,Evidence required in cybercrime?,AI generated response,2026-07-04T11:43:00,1018
CHAT0025,Officer18,IPC section for theft?,AI generated response,2026-07-04T16:35:00,631
CHAT0026,Officer6,How to register an FIR?,AI generated response,2026-07-06T15:15:00,1111
CHAT0027,Officer85,IPC section for theft?,AI generated response,2026-07-08T11:01:00,649
CHAT0028,Officer27,How to file a missing person case?,AI generated response,2026-07-08T14:11:00,404
